sample_date,sample_process_date,sample_location,filter number,g_pre,g_post,g_post_weightboat,g_weighboat,volume_filtered_l,mg_l_tss,g_tvs_weightboat,notes
2022-05-25,2022-06-29,SMCM_dock,425,0.1319,0.1335,1.2712,1.2701,0.5,3.2,1.401,
2022-05-31,2022-06-29,SMCM_dock,424,0.1302,0.131,1.2513,1.2509,0.2,4,1.38,
2022-06-01,2022-06-29,SMCM_dock,423,0.1301,0.1312,1.2586,1.2583,0.2,5.5,1.3874,
2022-06-02,2022-06-29,SMCM_dock,422,0.1312,0.1324,1.3104,1.3096,0.2,6,1.44,
2022-06-06,2022-06-29,SMCM_dock,449,0.135,0.1359,1.2667,1.2666,0.2,4.5,1.4004,
2022-06-07,2022-06-29,SMCM_dock,421,0.1325,0.1334,1.2755,1.2751,0.2,4.5,1.4061,
2022-06-08,2022-06-29,SMCM_dock,447,0.1308,0.1317,1.2653,1.2651,0.2,4.5,1.3944,
2022-06-09,2022-06-29,SMCM_dock,420,0.1318,0.1323,1.245,1.245,0.2,2.5,1.3754,
2022-06-13,2022-06-29,SMCM_dock,418,0.1312,0.1317,1.2495,1.2496,0.2,2.5,1.3791,
2022-06-14,2022-06-29,SMCM_dock,417,0.1316,0.1329,1.2762,1.2758,0.2,6.5,1.4066,
2022-06-15,2022-06-29,SMCM_dock,416,0.1332,0.1344,1.2632,1.2626,0.2,6,1.3941,
2022-06-21,2022-06-29,SMCM_dock,426,0.132,0.1331,1.2642,1.2632,0.2,5.5,1.3943,
2022-06-22,2022-06-29,SMCM_dock,466,0.1307,0.1318,1.2696,1.2689,0.2,5.5,1.3986,
2022-06-23,2022-06-29,SMCM_dock,526,0.1325,0.1341,1.2637,1.2632,0.2,8,1.3956,
2022-06-27,2022-06-29,SMCM_dock,525,0.1323,0.1336,1.2683,1.2686,0.2,6.5,1.3998,
2022-06-28,2022-06-29,SMCM_dock,524,0.1291,0.1323,1.2539,1.254,0.2,16,1.3833,
2022-06-29,2022-08-11,SMCM_dock,501,0.132,0.1333,1.4235,1.2902,0.2,6.5,1.4215,
2022-07-05,2022-08-11,SMCM_dock,523,0.131,0.1321,1.3981,1.266,0.2,5.5,1.3964,
2022-07-06,2022-08-11,SMCM_dock,548,0.1299,0.1315,1.3837,1.2522,0.2,8,1.3813,
2022-07-11,2022-08-11,SMCM_dock,476,0.1316,0.1324,1.3912,1.2588,0.2,4,1.3893,
2022-07-13,2022-08-11,SMCM_dock,547,0.1312,0.1321,1.3952,1.2631,0.2,4.5,1.3928,
2022-07-19,2022-08-11,SMCM_dock,522,0.1291,0.1306,1.3808,1.2502,0.2,7.5,1.3788,
2022-07-21,2022-08-11,SMCM_dock,475,0.1286,0.1296,1.3936,1.264,0.2,5,1.3916,
2022-07-26,2022-08-11,SMCM_dock,549,0.1331,0.1409,1.4071,1.2662,0.2,39,1.404,phytoplankton bloom
2022-07-28,2022-08-11,SMCM_dock,521,0.1313,0.1327,1.3959,1.2632,0.2,7,1.3936,
2022-08-02,2022-08-11,SMCM_dock,508,0.1339,0.1351,1.3987,1.2636,0.2,6,1.3965,
2022-08-08,2022-08-11,SMCM_dock,520,0.1312,0.1318,1.3656,1.2338,0.2,3,1.3635,
2022-08-10,2022-08-11,SMCM_dock,519,0.1351,0.1357,1.3867,1.251,0.2,3,1.3847,
2022-08-15,,,518,,,,1.2381,0.2,,1.3685,